date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg
2024-01-02,5.75,5.79,5.71,5.75,35630310.0,205011822.0,12673338070.0,0.0028114384547464374,
2024-01-03,5.74,5.81,5.73,5.75,29366055.0,169119516.0,12673338070.0,0.002317152342800242,0.0
2024-01-04,5.74,5.75,5.59,5.62,38985678.0,219778771.0,12673338070.0,0.0030761964830943707,-2.260869565217394
2024-01-05,5.62,5.65,5.56,5.58,35580783.0,199350262.0,12673338070.0,0.002807530486717301,-0.7117437722419906
2024-01-08,5.6,5.6,5.47,5.5,32121119.0,177642242.0,12673338070.0,0.0025345428980574807,-1.4336917562724039
2024-01-09,5.51,5.71,5.49,5.71,54768440.0,309019577.0,12673338070.0,0.004321548095497148,3.8181818181818095
2024-01-10,5.71,5.76,5.65,5.71,31649681.0,180737308.0,12673338070.0,0.0024973437010190956,0.0
2024-01-11,5.7,5.8,5.68,5.77,28669907.0,164856791.0,12673338070.0,0.002262222221299901,1.0507880910682887
2024-01-12,5.77,5.92,5.73,5.86,42402893.0,248431696.0,12673338070.0,0.0033458345990449853,1.559792027729645
2024-01-15,5.82,5.93,5.79,5.9,35818654.0,210783048.0,12673338070.0,0.002826299890538626,0.6825938566553003
2024-01-16,5.89,6.03,5.86,6.0,52283581.0,312099689.0,12673338070.0,0.004125478284506933,1.6949152542372836
2024-01-17,5.99,5.99,5.85,5.86,33977336.0,201181235.0,12673338070.0,0.0026810092031262288,-2.3333333333333317
2024-01-18,5.86,5.97,5.74,5.92,46274461.0,269828101.0,12673338070.0,0.0036513238062779777,1.0238907849829282
2024-01-19,5.9,5.92,5.79,5.87,32556859.0,190498622.0,12673338070.0,0.0025689253155068716,-0.8445945945945943
2024-01-22,5.85,5.87,5.68,5.69,39326302.0,227351254.0,12673338070.0,0.003103073695563461,-3.0664395229982877
2024-01-23,5.7,5.77,5.64,5.75,26681114.0,152199392.0,12673338070.0,0.0021052948996254464,1.0544815465729274
2024-01-24,5.77,5.9,5.75,5.9,42143851.0,245792411.0,12673338070.0,0.003325394680329868,2.60869565217392
2024-01-25,5.9,6.01,5.85,6.0,48609649.0,288875993.0,12673338070.0,0.0038355837058483837,1.6949152542372836
2024-01-26,5.98,6.11,5.94,6.08,62223113.0,377016363.0,12673338070.0,0.0049097651034255094,1.333333333333342
2024-01-29,5.99,6.13,5.96,6.03,53668624.0,324873900.0,12673338070.0,0.004234766223671014,-0.8223684210526327
2024-01-30,6.0,6.02,5.83,5.84,35942264.0,212367320.0,12673338070.0,0.0028360534376559877,-3.1509121061359946
2024-01-31,5.81,5.85,5.73,5.76,33211038.0,192087263.0,12673338232.0,0.0026205438055888542,-1.3698630136986356
2024-02-01,5.75,5.76,5.61,5.65,42830500.0,243185183.0,12673338232.0,0.003379575232345144,-1.9097222222222099
2024-02-02,5.66,5.77,5.43,5.6,48283677.0,271805208.0,12673338232.0,0.0038098625726002006,-0.8849557522124019
2024-02-05,5.6,5.62,5.32,5.41,59887517.0,326940851.0,12673338232.0,0.004725472949880314,-3.392857142857131
2024-02-06,5.41,5.65,5.34,5.63,58748775.0,323499640.0,12673338232.0,0.00463561959166056,4.066543438077619
2024-02-07,5.65,5.71,5.54,5.71,54718007.0,308617870.0,12673338232.0,0.0043175685836142055,1.4209591474245054
2024-02-08,5.71,5.78,5.65,5.78,59615476.0,341406918.0,12673338232.0,0.004704007334821363,1.2259194395796813
2024-02-19,5.82,5.97,5.76,5.84,62496670.0,366585193.0,12673338232.0,0.00493135027692994,1.038062283737018
2024-02-20,5.83,5.92,5.73,5.87,40218387.0,234345162.0,12673338232.0,0.003173464344102262,0.5136986301369939
2024-02-21,5.85,6.1,5.81,5.98,62835790.0,376807841.0,12673338232.0,0.0049581088147194335,1.873935264054527
2024-02-22,5.96,6.11,5.95,6.09,45131643.0,273215519.0,12673338232.0,0.003561148781308719,1.8394648829431315
2024-02-23,6.1,6.11,5.94,5.94,54608843.0,326815548.0,12673338232.0,0.004308954909931579,-2.463054187192104
2024-02-26,5.91,5.98,5.89,5.9,32806216.0,194574418.0,12673338232.0,0.002588600998367168,-0.6734006734006703
2024-02-27,5.88,6.03,5.87,5.97,39421460.0,235093577.0,12673338232.0,0.003110582174825996,1.186440677966094
2024-02-28,5.96,6.01,5.88,5.89,37918890.0,225192010.0,12673338232.0,0.002992020674099531,-1.340033500837523
2024-02-29,5.85,5.93,5.85,5.92,39570837.0,232941002.0,12673338880.0,0.003122368728137411,0.5093378607809784
2024-03-01,5.88,5.91,5.68,5.71,100544111.0,577388227.0,12673338880.0,0.007933513965973898,-3.5472972972972916
2024-03-04,5.69,5.73,5.61,5.66,55228667.0,312178532.0,12673338880.0,0.0043578624009776344,-0.8756567425569184
2024-03-05,5.64,5.71,5.63,5.69,43718662.0,248070644.0,12673338880.0,0.0034496561966786137,0.5300353356890497
2024-03-06,5.69,5.72,5.63,5.66,36026174.0,204196318.0,12673338880.0,0.0028426742424487272,-0.5272407732864748
2024-03-07,5.67,5.69,5.6,5.63,33949133.0,191721433.0,12673338880.0,0.002678783651368754,-0.5300353356890497
2024-03-08,5.61,5.64,5.56,5.62,28838202.0,161304149.0,12673338880.0,0.002275501529080867,-0.1776198934280604
2024-03-11,5.61,5.72,5.61,5.71,45687658.0,259656265.0,12673338880.0,0.0036050214101116186,1.6014234875444844
2024-03-12,5.71,5.81,5.69,5.81,66622428.0,383875212.0,12673338880.0,0.005256896278938609,1.7513134851138368
2024-03-13,5.8,5.81,5.67,5.71,53889216.0,307944076.0,12673338880.0,0.004252171942237214,-1.721170395869187
2024-03-14,5.68,5.78,5.65,5.71,42267808.0,242191710.0,12673338880.0,0.003335175394599722,0.0
2024-03-15,5.69,5.78,5.68,5.78,46009462.0,264522690.0,12673338880.0,0.0036304136136222375,1.2259194395796813
2024-03-18,5.8,5.89,5.73,5.8,64046817.0,371030470.0,12673338880.0,0.005053665620910155,0.34602076124565784
2024-03-19,5.79,5.79,5.73,5.74,35708096.0,205651356.0,12673338880.0,0.002817576041965667,-1.0344827586206806
2024-03-20,5.74,5.82,5.72,5.82,44712892.0,258560205.0,12673338880.0,0.0035281067146844887,1.3937282229965264
2024-03-21,5.8,5.88,5.77,5.78,32790202.0,190341351.0,12673338880.0,0.0025873372684562823,-0.6872852233676952
