date,open,close,high,low,volume
2025-09-02,7.79,7.75,7.84,7.64,13248686.0
2025-09-03,7.76,7.63,7.77,7.6,9606071.0
2025-09-04,7.64,7.66,7.69,7.56,10437421.0
2025-09-05,7.66,7.71,7.71,7.61,9050493.0
2025-09-08,7.74,7.76,7.78,7.67,8200730.0
2025-09-09,7.76,7.71,7.77,7.67,6134606.0
2025-09-10,7.73,7.68,7.75,7.66,5970855.0
2025-09-11,7.67,7.73,7.73,7.65,7308133.0
2025-09-12,7.72,7.77,7.88,7.72,14982439.0
2025-09-15,7.8,7.94,7.96,7.72,19632994.0
2025-09-16,7.94,7.99,7.99,7.85,15057451.0
2025-09-17,7.98,8.07,8.24,7.88,24540333.0
2025-09-18,8.07,7.83,8.07,7.81,18457020.0
2025-09-19,7.85,7.78,7.9,7.75,8064664.0
2025-09-22,7.75,7.75,7.78,7.66,9016561.0
2025-09-23,7.7,7.64,7.73,7.54,9847577.0
2025-09-24,7.61,7.77,7.8,7.56,7900277.0
2025-09-25,7.77,7.66,7.77,7.66,6334693.0
2025-09-26,7.68,7.65,7.71,7.62,4333000.0
2025-09-29,7.68,7.69,7.7,7.54,6766505.0
2025-09-30,7.68,7.71,7.76,7.65,6778356.0
2025-10-09,7.73,7.71,7.74,7.65,5785535.0
2025-10-10,7.7,7.74,7.78,7.66,7340422.0
2025-10-13,7.6,7.69,7.7,7.54,10150389.0
2025-10-14,7.7,7.66,7.77,7.65,6792169.0
2025-10-15,7.68,7.73,7.73,7.65,4344885.0
2025-10-16,7.72,7.66,7.73,7.63,5352200.0
2025-10-17,7.63,7.57,7.67,7.56,7641549.0
2025-10-20,7.58,7.6,7.62,7.55,3455544.0
2025-10-21,7.6,7.76,7.78,7.58,8028125.0
2025-10-22,7.72,7.75,7.79,7.7,6170886.0
2025-10-23,7.75,7.79,7.8,7.72,6549544.0
2025-10-24,7.81,7.74,7.81,7.72,6481685.0
2025-10-27,7.77,7.85,7.87,7.74,9302065.0
2025-10-28,7.82,7.81,7.87,7.8,5577461.0
2025-10-29,7.78,7.79,7.82,7.73,4614395.0
2025-10-30,7.78,7.71,7.8,7.71,4985288.0
2025-10-31,7.78,7.81,7.84,7.73,8116281.0
2025-11-03,7.82,7.82,7.84,7.77,5625000.0
2025-11-04,7.81,7.79,7.84,7.76,6315874.0
2025-11-05,7.76,7.79,7.8,7.71,7456172.0
2025-11-06,7.79,7.76,7.82,7.74,6580400.0
2025-11-07,7.75,7.77,7.81,7.75,5256444.0
2025-11-10,7.77,7.87,7.91,7.74,10924029.0
2025-11-11,7.88,7.87,7.89,7.82,7566524.0
2025-11-12,7.87,7.88,7.91,7.85,9094254.0
2025-11-13,7.88,7.94,7.94,7.84,8981363.0
2025-11-14,7.92,7.9,7.96,7.89,7618363.0
2025-11-17,7.88,7.83,7.9,7.81,7456240.0
2025-11-18,7.82,7.74,7.82,7.72,7737741.0
2025-11-19,7.72,7.66,7.76,7.62,6568300.0
2025-11-20,7.69,7.67,7.72,7.61,5054778.0
2025-11-21,7.59,7.36,7.65,7.36,8988735.0
2025-11-24,7.37,7.49,7.5,7.37,5283838.0
2025-11-25,7.51,7.51,7.58,7.48,4033054.0
2025-11-26,7.53,7.54,7.6,7.52,3917463.0
2025-11-27,7.58,7.49,7.58,7.47,4438840.0
2025-11-28,7.48,7.54,7.54,7.44,2725820.0
2025-12-01,7.5,7.56,7.58,7.5,3963388.0
2025-12-02,7.57,7.51,7.57,7.49,3388000.0
2025-12-03,7.5,7.55,7.65,7.45,6071257.0
2025-12-04,7.52,7.48,7.54,7.46,4242400.0
2025-12-05,7.48,7.53,7.53,7.43,4052534.0
2025-12-08,7.55,7.52,7.56,7.51,4252471.0
2025-12-09,7.52,7.44,7.54,7.43,4680851.0
2025-12-10,7.44,7.45,7.46,7.4,2893077.0
2025-12-11,7.47,7.38,7.48,7.36,3743942.0
2025-12-12,7.37,7.28,7.41,7.27,6556351.0
2025-12-15,7.23,7.32,7.43,7.21,7648595.0
2025-12-16,7.31,7.39,7.42,7.26,8113182.0
2025-12-17,7.35,7.47,7.5,7.35,6120766.0
2025-12-18,7.45,7.67,7.69,7.44,10618064.0
2025-12-19,7.68,7.75,7.79,7.68,11394728.0
2025-12-22,7.72,7.89,7.92,7.7,17265960.0
2025-12-23,7.93,7.78,7.93,7.75,9245300.0
2025-12-24,7.71,7.82,7.84,7.63,12812299.0
2025-12-25,7.82,7.64,7.82,7.61,12859176.0
2025-12-26,7.67,7.63,7.69,7.6,5615127.0
2025-12-29,7.64,7.64,7.65,7.58,5115640.0
2025-12-30,7.62,7.56,7.65,7.56,5437239.0
2025-12-31,7.56,7.61,7.64,7.52,4635436.0
2026-01-05,7.64,7.62,7.74,7.58,9622788.0
2026-01-06,7.62,7.71,7.74,7.59,9776564.0
2026-01-07,7.71,7.62,7.71,7.6,7903414.0
2026-01-08,7.59,7.62,7.64,7.58,5693293.0
2026-01-09,7.65,7.71,7.79,7.64,14126353.0
2026-01-12,7.68,7.79,7.8,7.66,14567554.0
2026-01-13,7.8,7.69,7.82,7.67,12249200.0
2026-01-14,7.68,7.65,7.75,7.61,13084042.0
2026-01-15,7.65,7.56,7.66,7.52,8998900.0
2026-01-16,7.59,7.52,7.6,7.51,6270778.0
2026-01-19,7.52,7.57,7.57,7.46,6459907.0
2026-01-20,7.57,7.56,7.63,7.52,7733451.0
2026-01-21,7.54,7.54,7.56,7.48,5928673.0
2026-01-22,7.54,7.59,7.6,7.51,7312202.0
2026-01-23,7.59,7.62,7.64,7.57,7966146.0
2026-01-26,7.64,7.73,7.82,7.63,18241935.0
2026-01-27,7.88,8.2,8.44,7.88,86116542.0
2026-01-28,8.23,8.1,8.39,8.09,39933897.0
2026-01-29,8.1,8.2,8.5,8.03,44896836.0
2026-01-30,8.11,8.13,8.22,7.96,22306450.0
2026-02-02,8.1,7.83,8.18,7.79,22814840.0
2026-02-03,7.88,7.99,8.15,7.76,23890648.0
2026-02-04,8.04,8.07,8.18,7.96,14334674.0
2026-02-05,8.0,8.01,8.06,7.85,13702399.0
2026-02-06,7.95,7.97,8.07,7.91,12961028.0
2026-02-09,8.05,8.09,8.2,7.97,21040762.0
2026-02-10,8.05,7.93,8.07,7.92,18975600.0
2026-02-11,7.95,7.99,8.08,7.94,12989796.0
2026-02-12,7.98,7.96,8.05,7.89,13653600.0
2026-02-13,7.92,7.91,8.05,7.9,9375600.0
2026-02-24,7.95,8.05,8.06,7.95,12894844.0
2026-02-25,8.05,8.08,8.14,8.02,13400200.0
2026-02-26,8.07,8.09,8.1,7.98,13801068.0
2026-02-27,8.05,8.13,8.14,8.05,12485544.0
2026-03-02,8.04,8.0,8.06,7.92,13718028.0
2026-03-03,7.98,7.68,8.03,7.68,20363115.0
2026-03-04,7.66,7.69,7.72,7.56,12707271.0
2026-03-05,7.76,7.8,7.87,7.75,8569400.0
2026-03-06,7.75,7.93,7.94,7.75,8817298.0
2026-03-09,7.83,7.9,7.95,7.8,8651370.0
2026-03-10,7.94,7.99,8.03,7.92,9263600.0
2026-03-11,8.0,8.05,8.06,7.94,8458829.0
2026-03-12,8.06,7.98,8.08,7.97,7018708.0
2026-03-13,7.99,7.92,8.06,7.9,9361116.0
2026-03-16,7.92,7.92,7.97,7.84,6491804.0
2026-03-17,7.93,7.87,7.98,7.85,7662700.0
2026-03-18,7.86,7.89,7.93,7.78,7494835.0
2026-03-19,7.83,7.71,7.85,7.7,7534101.0
2026-03-20,7.71,7.55,7.77,7.54,9766200.0
2026-03-23,7.44,7.21,7.44,7.11,15527231.0
2026-03-24,7.33,7.28,7.34,7.1,12369108.0
2026-03-25,7.29,7.36,7.4,7.26,8434039.0
2026-03-26,7.34,7.25,7.43,7.24,5767203.0
2026-03-27,7.17,7.25,7.27,7.15,5228612.0
2026-03-30,7.18,7.32,7.45,7.17,5988759.0
2026-03-31,7.33,7.29,7.43,7.28,6125976.0
2026-04-01,7.34,7.37,7.39,7.28,7517458.0
2026-04-02,7.36,7.25,7.36,7.19,5411482.0
2026-04-03,7.25,7.15,7.29,7.12,4804375.0
2026-04-07,7.16,7.17,7.18,7.11,3873090.0
2026-04-08,7.25,7.33,7.34,7.25,6424300.0
2026-04-09,7.3,7.21,7.31,7.2,4477500.0
2026-04-10,7.25,7.27,7.32,7.24,3360800.0
2026-04-13,7.24,7.33,7.37,7.21,5083220.0
2026-04-14,7.37,7.38,7.39,7.31,3641093.0
2026-04-15,7.38,7.57,7.67,7.36,11755800.0
2026-04-16,7.54,7.56,7.61,7.47,6559170.0
2026-04-17,7.57,7.52,7.6,7.51,5364885.0
2026-04-20,7.58,7.54,7.64,7.53,6545608.0
2026-04-21,7.58,7.42,7.58,7.38,6355285.0
2026-04-22,7.38,7.32,7.41,7.3,5676300.0
2026-04-23,7.3,7.28,7.42,7.28,5512680.0
2026-04-24,7.3,7.31,7.35,7.23,4336816.0
2026-04-27,7.28,7.31,7.36,7.2,6146000.0
2026-04-28,7.29,7.3,7.39,7.24,5038973.0
2026-04-29,7.32,7.33,7.36,7.28,7394700.0
2026-04-30,7.4,7.52,7.53,7.39,10736630.0
2026-05-06,7.57,7.62,7.78,7.57,12468596.0
2026-05-07,7.65,7.54,7.66,7.54,7939324.0
2026-05-08,7.52,7.59,7.63,7.48,7274530.0
2026-05-11,7.63,7.59,7.64,7.55,5516845.0
2026-05-12,7.6,7.55,7.62,7.53,6426742.0
2026-05-13,7.57,7.59,7.6,7.54,6406438.0
2026-05-14,7.58,7.45,7.6,7.43,6801216.0
2026-05-15,7.45,7.6,7.77,7.42,11187270.0
2026-05-18,7.66,7.57,7.67,7.49,10170391.0
2026-05-19,7.52,7.63,7.66,7.51,6402631.0
2026-05-20,7.6,7.47,7.61,7.44,7252422.0
2026-05-21,7.48,7.3,7.58,7.28,7706715.0
2026-05-22,7.3,7.32,7.36,7.23,5020600.0
2026-05-25,7.32,7.38,7.4,7.28,4969407.0
2026-05-26,7.34,7.29,7.36,7.23,4549231.0
2026-05-27,7.28,7.03,7.28,6.99,9537700.0
2026-05-28,7.03,7.04,7.09,6.87,5666492.0
2026-05-29,7.04,7.03,7.11,6.99,4503340.0
2026-06-01,7.03,7.28,7.32,6.98,6970860.0
2026-06-02,7.27,7.17,7.3,7.14,4014190.0
2026-06-03,7.19,7.07,7.19,7.05,4289600.0
2026-06-04,7.04,6.94,7.09,6.91,4082889.0
2026-06-05,6.94,6.97,7.05,6.92,3282200.0
2026-06-08,6.9,6.82,6.95,6.72,5396240.0
2026-06-09,6.84,6.85,6.89,6.79,3014909.0
2026-06-10,6.83,6.88,6.88,6.72,3573329.0
2026-06-11,6.87,6.72,6.88,6.68,3392705.0
2026-06-12,6.76,6.84,6.86,6.7,3088196.0
2026-06-15,6.9,6.91,6.98,6.87,3442218.0
2026-06-16,6.94,6.85,6.95,6.82,3665107.0
2026-06-17,6.89,6.72,6.89,6.69,5210220.0
2026-06-18,6.7,6.55,6.74,6.54,6711020.0
2026-06-22,6.52,6.56,6.58,6.33,8052258.0
2026-06-23,6.59,6.67,6.83,6.57,8763877.0
2026-06-24,6.68,6.55,6.69,6.46,6148300.0
2026-06-25,6.58,6.51,6.62,6.4,6655207.0
2026-06-26,6.5,6.42,6.66,6.41,10359810.0
2026-06-29,5.43,5.19,5.43,5.12,8337294.0
2026-06-30,5.2,5.14,5.23,5.1,8099616.0
2026-07-01,5.13,5.22,5.26,5.12,9065430.0
2026-07-02,5.24,5.18,5.31,5.17,7021499.0
2026-07-03,5.2,5.37,5.48,5.2,12767441.0
