日期,昨日涨跌幅,开盘涨幅,入场价,入场原因,代码,收益_1日,收益_3日,收益_5日,收益_10日,涨跌幅区间
2024-01-19,2.909713307659389,-0.2494802494802606,23.99,昨日涨跌幅+2.91%，符合2%-7%区间,000063,-4.95,-0.15,0.68,-9.83,2%~3%
2024-01-24,4.459991254919116,0.6278777731268281,24.04,昨日涨跌幅+4.46%，符合2%-7%区间,000063,2.55,-1.99,-8.93,-3.98,4%~5%
2024-01-26,2.914238134887581,-0.8090614886731351,24.52,昨日涨跌幅+2.91%，符合2%-7%区间,000063,-3.91,-10.72,-11.78,0.45,2%~3%
2024-02-07,5.580969807868241,-0.043327556325811756,23.07,昨日涨跌幅+5.58%，符合2%-7%区间,000063,3.75,5.01,9.47,29.15,5%~7%
2024-02-19,3.6717062634989306,2.5000000000000133,24.6,昨日涨跌幅+3.67%，符合2%-7%区间,000063,-1.54,2.65,3.79,22.77,3%~4%
2024-02-20,2.9166666666666563,-0.8502024291498045,24.49,昨日涨跌幅+2.92%，符合2%-7%区间,000063,-0.48,3.93,14.71,18.54,2%~3%
2024-02-23,3.6006546644844484,1.1058451816745807,25.6,昨日涨跌幅+3.60%，符合2%-7%区间,000063,-0.28,6.67,19.02,17.61,3%~4%
2024-03-04,2.2772940388479546,1.4734774066797574,30.99,昨日涨跌幅+2.28%，符合2%-7%区间,000063,-6.38,-7.86,-3.47,-4.96,2%~3%
2024-03-11,5.3770949720670425,-2.1868787276342005,29.52,昨日涨跌幅+5.38%，符合2%-7%区间,000063,-1.3,-2.72,-0.21,-7.06,5%~7%
2024-03-29,4.97131931166348,-0.18214936247723523,27.4,昨日涨跌幅+4.97%，符合2%-7%区间,000063,2.49,-0.94,-1.67,0.41,4%~5%
2024-04-16,4.562314540059353,-0.6739978715856743,28.0,昨日涨跌幅+4.56%，符合2%-7%区间,000063,3.26,-0.17,-2.07,2.11,4%~5%
2024-04-18,5.074302283436016,-0.9658502932045399,28.71,昨日涨跌幅+5.07%，符合2%-7%区间,000063,-2.65,-4.49,-3.45,-1.32,5%~7%
2024-04-25,2.690909090909077,-0.9560906515580725,27.97,昨日涨跌幅+2.69%，符合2%-7%区间,000063,2.47,2.22,1.29,2.29,2%~3%
2024-04-29,3.3812949640287693,0.2435629784272697,28.81,昨日涨跌幅+3.38%，符合2%-7%区间,000063,-0.77,-1.67,-2.85,-1.25,3%~4%
2024-05-14,2.143622722400873,0.034977264777902306,28.6,昨日涨跌幅+2.14%，符合2%-7%区间,000063,-1.75,-1.15,-4.44,-5.94,2%~3%
2024-06-13,2.190865206089865,0.10901162790697416,27.55,昨日涨跌幅+2.19%，符合2%-7%区间,000063,0.7,2.51,-0.57,-2.71,2%~3%
2024-06-19,2.054054054054056,0.0,28.32,昨日涨跌幅+2.05%，符合2%-7%区间,000063,-3.28,-4.94,-3.46,-2.4,2%~3%
2024-06-27,3.628117913832196,-0.4376367614879695,27.3,昨日涨跌幅+3.63%，符合2%-7%区间,000063,2.17,1.3,0.42,6.39,3%~4%
2024-07-01,4.055059523809534,0.0,27.97,昨日涨跌幅+4.06%，符合2%-7%区间,000063,-1.14,-2.0,-3.03,-0.96,4%~5%
2024-07-10,6.139705882352953,-0.24246622791825878,28.8,昨日涨跌幅+6.14%，符合2%-7%区间,000063,0.83,-3.82,-3.09,-6.77,5%~7%
2024-07-17,2.3398128149747954,-0.5979599015124792,28.26,昨日涨跌幅+2.34%，符合2%-7%区间,000063,-1.94,-1.66,-4.99,-3.25,2%~3%
2024-08-01,2.4663677130044803,0.0,27.42,昨日涨跌幅+2.47%，符合2%-7%区间,000063,-3.23,-5.28,-5.75,-5.53,2%~3%
2024-09-02,2.0970394736842035,0.1610954490535832,24.87,昨日涨跌幅+2.10%，符合2%-7%区间,000063,-2.33,-1.97,-5.67,-5.19,2%~3%
2024-09-24,3.06291390728477,0.3212851405622663,24.98,昨日涨跌幅+3.06%，符合2%-7%区间,000063,1.72,14.45,36.91,19.74,3%~4%
2024-09-25,2.088353413654631,1.0621557828481398,25.69,昨日涨跌幅+2.09%，符合2%-7%区间,000063,2.09,20.97,24.48,14.32,2%~3%
2024-09-27,3.2182103610675084,1.3688212927756682,26.66,昨日涨跌幅+3.22%，符合2%-7%区间,000063,16.56,19.94,11.65,15.55,3%~4%
2024-10-21,4.855687606112058,0.8419689119171014,31.14,昨日涨跌幅+4.86%，符合2%-7%区间,000063,-3.68,1.04,-0.6,-2.98,4%~5%
2024-10-22,2.6878238341969007,-3.815830968148848,30.5,昨日涨跌幅+2.69%，符合2%-7%区间,000063,0.31,2.67,0.64,1.62,2%~3%
2024-10-25,2.835723598435469,-0.5071315372424778,31.39,昨日涨跌幅+2.84%，符合2%-7%区间,000063,-1.4,-3.91,-5.98,4.15,2%~3%
2024-11-05,2.3648648648648685,-0.0990099009900991,30.27,昨日涨跌幅+2.36%，符合2%-7%区间,000063,3.16,8.01,14.69,7.09,2%~3%
2024-11-06,2.5742574257425765,-0.03217503217503026,31.07,昨日涨跌幅+2.57%，符合2%-7%区间,000063,2.23,15.78,13.79,4.0,2%~3%
2024-11-11,2.9199372056514905,0.24405125076265577,32.86,昨日涨跌幅+2.92%，符合2%-7%区间,000063,5.62,0.79,-2.01,-7.07,2%~3%
2024-11-28,2.005919105557385,0.03223726627983314,31.03,昨日涨跌幅+2.01%，符合2%-7%区间,000063,0.14,0.07,-1.12,0.53,2%~3%
2024-12-17,2.6186579378068675,5.263157894736836,33.0,昨日涨跌幅+2.62%，符合2%-7%区间,000063,4.45,12.99,11.27,22.14,2%~3%
2024-12-18,5.77352472089312,-2.020506634499386,32.49,昨日涨跌幅+5.77%，符合2%-7%区间,000063,16.06,10.99,16.96,16.46,5%~7%
2024-12-19,4.221954161640551,0.8969907407407218,34.87,昨日涨跌幅+4.22%，符合2%-7%区间,000063,6.92,5.28,17.27,1.96,4%~5%
2024-12-26,3.477315946753601,-0.36755053819900185,37.95,昨日涨跌幅+3.48%，符合2%-7%区间,000063,5.33,6.18,-6.34,-0.91,3%~4%
2025-01-14,3.4208432776451803,0.05128205128206442,39.02,昨日涨跌幅+3.42%，符合2%-7%区间,000063,4.59,5.49,9.61,8.79,3%~4%
2025-01-15,6.41025641025641,-1.2048192771084376,41.0,昨日涨跌幅+6.41%，符合2%-7%区间,000063,-2.82,-1.52,4.72,5.57,5%~7%
2025-01-20,3.2782782782782904,1.3084565059365172,41.81,昨日涨跌幅+3.28%，符合2%-7%区间,000063,2.28,-1.98,-4.66,-0.71,3%~4%
2025-01-22,5.902692022721667,-1.3059701492537323,42.32,昨日涨跌幅+5.90%，符合2%-7%区间,000063,-3.16,-5.81,2.27,-6.31,5%~7%
2025-01-27,4.428223844282231,-0.5125815470643058,42.7,昨日涨跌幅+4.43%，符合2%-7%区间,000063,-0.61,0.21,-2.79,-8.27,4%~5%
2025-02-06,6.453226613306673,-0.7283834586466198,42.25,昨日涨跌幅+6.45%，符合2%-7%区间,000063,1.28,-1.75,-6.15,-6.03,5%~7%
2025-02-18,2.918973326623031,-1.418092909535451,40.32,昨日涨跌幅+2.92%，符合2%-7%区间,000063,-0.11,7.38,5.13,-8.49,2%~3%
2025-02-20,2.7996945787732264,-0.4951720722951247,40.19,昨日涨跌幅+2.80%，符合2%-7%区间,000063,7.73,5.47,0.44,-5.73,2%~3%
2025-03-05,2.407304925290532,-0.027019724398802403,37.0,昨日涨跌幅+2.41%，符合2%-7%区间,000063,2.42,0.29,4.53,-0.93,2%~3%
2025-03-07,2.674952715482304,-0.2894736842105283,37.89,昨日涨跌幅+2.67%，符合2%-7%区间,000063,-2.07,2.07,-0.89,-7.62,2%~3%
