日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2024-02-07,2024,601138,计算机设备,5.15,15.27,15.3,15.3,15.3,15.53,15.01,-0.0,-0.1,收盘卖出,70.2,可交易
2024-03-04,2024,002049,半导体,6.54,75.0,75.15,73.65,74.47,76.21,73.36,-2.0,-2.1,止损(-2%),71.8,可交易
2024-03-11,2024,002371,半导体,3.64,299.04,299.64,303.69,303.69,307.4,298.51,1.35,1.25,收盘卖出,71.2,可交易
2024-03-19,2024,603501,通信设备,6.66,99.46,99.66,100.81,100.81,103.35,99.2,1.16,1.06,收盘卖出,73.2,可交易
2024-03-20,2024,300576,电子化学品,3.88,41.2,41.28,43.35,43.02,45.58,40.78,5.0,4.9,止盈(5%),74.2,可交易
2024-04-29,2024,300285,元件,3.55,18.98,19.02,19.44,19.44,19.56,18.83,2.22,2.12,收盘卖出,70.8,可交易
2024-05-06,2024,603228,元件,3.89,23.56,23.61,23.97,23.97,24.33,23.36,1.54,1.44,收盘卖出,78.0,可交易
2024-05-07,2024,300408,元件,2.29,28.66,28.72,28.69,28.69,29.1,28.41,-0.1,-0.2,收盘卖出,70.5,可交易
2024-05-08,2024,603267,元件,3.73,35.7,35.77,35.06,34.9,35.79,34.85,-2.0,-2.1,止损(-2%),73.8,可交易
2024-05-10,2024,603267,元件,5.59,36.8,36.87,36.14,36.18,36.98,35.91,-2.0,-2.1,止损(-2%),75.2,可交易
2024-05-13,2024,300661,半导体,4.0,76.7,76.85,75.32,78.4,80.5,75.16,-2.0,-2.1,止损(-2%),75.2,可交易
2024-05-14,2024,300661,半导体,2.27,78.69,78.85,77.27,78.79,79.32,77.18,-2.0,-2.1,止损(-2%),70.8,可交易
2024-05-16,2024,603228,元件,4.56,26.2,26.25,27.57,26.2,27.66,26.09,5.0,4.9,止盈(5%),76.5,可交易
2024-05-21,2024,601138,计算机设备,2.02,25.94,25.99,25.47,25.72,26.2,25.46,-2.0,-2.1,止损(-2%),70.8,可交易
2024-05-29,2024,603005,半导体,3.85,18.28,18.32,18.31,18.31,18.68,18.21,-0.04,-0.14,收盘卖出,73.2,可交易
2024-05-31,2024,688981,半导体,5.71,45.1,45.19,44.85,44.85,45.49,44.69,-0.75,-0.85,收盘卖出,73.2,可交易
2024-06-07,2024,002916,元件,3.11,95.7,95.89,93.97,93.83,97.2,92.88,-2.0,-2.1,止损(-2%),77.0,可交易
