代码,日期,年份,昨日涨跌,开盘涨幅,当日毛收益,当日净收益,开盘价,收盘价,高开低走
000063,2024-02-07,2024,5.58,-0.04,0.35,0.25,23.07,23.15,False
000063,2024-03-11,2024,5.38,-2.19,1.63,1.53,29.52,30.0,False
000063,2024-04-18,2024,5.07,-0.97,-0.17,-0.27,28.71,28.66,False
000063,2024-07-10,2024,6.14,-0.24,0.17,0.07,28.8,28.85,False
000063,2024-12-18,2024,5.77,-2.02,6.37,6.27,32.49,34.56,False
000063,2025-01-15,2025,6.41,-1.2,-0.2,-0.3,41.0,40.92,False
000063,2025-01-22,2025,5.9,-1.31,1.72,1.62,42.32,43.05,False
000063,2025-02-06,2025,6.45,-0.73,2.72,2.62,42.25,43.4,False
000063,2025-08-21,2025,5.66,8.99,-2.23,-2.33,43.53,42.56,True
000063,2025-08-22,2025,6.56,2.21,7.01,6.91,43.5,46.55,False
000063,2025-09-02,2025,5.63,-0.71,-5.94,-6.04,47.66,44.83,False
000063,2025-09-12,2025,6.45,-1.62,2.44,2.34,43.03,44.08,False
000063,2025-10-22,2025,5.43,-2.05,-0.5,-0.6,50.19,49.94,False
000063,2026-01-13,2026,5.49,0.0,-5.09,-5.19,42.44,40.28,False
000063,2026-04-09,2026,5.26,-1.0,5.52,5.42,33.7,35.56,False
000063,2026-04-23,2026,6.08,-0.37,-0.94,-1.04,37.2,36.85,False
002049,2024-03-04,2024,6.54,-1.67,-0.71,-0.81,75.0,74.47,False
002049,2024-03-29,2024,6.9,-0.38,-0.63,-0.73,65.31,64.9,False
002049,2024-04-18,2024,6.13,-0.88,-1.68,-1.78,61.8,60.76,False
002049,2024-05-10,2024,6.3,-0.41,-0.97,-1.07,60.0,59.42,False
002049,2024-06-12,2024,5.81,-0.95,-0.14,-0.24,58.45,58.37,False
002049,2024-09-30,2024,6.2,5.82,3.95,3.85,60.0,62.37,False
002049,2025-07-30,2025,6.89,-0.26,-1.96,-2.06,73.01,71.58,False
002049,2025-08-18,2025,5.23,0.75,3.64,3.54,78.0,80.84,False
