日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,持仓时间
2024-02-06,2024,600188,煤炭开采加工,3.44,23.3,23.35,22.88,23.05,23.75,22.84,-2.0,-2.1,止损(-2%),盘中
2024-02-07,2024,601138,计算机设备,5.15,15.27,15.3,15.3,15.3,15.53,15.01,-0.0,-0.1,收盘卖出,全天
2024-02-19,2024,601138,计算机设备,2.61,16.7,16.73,16.4,17.27,17.27,16.32,-2.0,-2.1,止损(-2%),盘中
2024-02-21,2024,600188,煤炭开采加工,4.7,25.95,26.0,25.48,25.72,26.43,25.44,-2.0,-2.1,止损(-2%),盘中
2024-02-23,2024,600188,煤炭开采加工,6.57,27.42,27.47,26.93,27.23,27.73,26.82,-2.0,-2.1,止损(-2%),盘中
2024-02-27,2024,002049,半导体,2.22,59.9,60.02,63.02,66.41,66.41,59.27,5.0,4.9,止盈(5%),盘中
2024-03-01,2024,002916,元件,6.36,69.61,69.75,73.24,73.72,74.98,69.6,5.0,4.9,止盈(5%),盘中
2024-03-04,2024,002049,半导体,6.54,75.0,75.15,73.65,74.47,76.21,73.36,-2.0,-2.1,止损(-2%),盘中
2024-03-06,2024,601138,计算机设备,3.32,22.07,22.11,22.01,22.01,22.55,21.7,-0.47,-0.57,收盘卖出,全天
2024-03-07,2024,002916,元件,6.29,79.0,79.16,83.12,81.2,84.74,79.0,5.0,4.9,止盈(5%),盘中
2024-03-08,2024,002916,元件,2.94,81.32,81.48,85.56,89.32,89.32,80.94,5.0,4.9,止盈(5%),盘中
2024-03-11,2024,600563,元件,6.55,109.0,109.22,114.68,114.4,114.8,108.5,5.0,4.9,止盈(5%),盘中
2024-03-12,2024,603267,元件,6.55,38.84,38.92,39.26,39.26,39.6,38.51,0.88,0.78,收盘卖出,全天
2024-03-18,2024,002916,元件,6.39,87.02,87.19,91.55,91.75,92.97,87.0,5.0,4.9,止盈(5%),盘中
2024-03-19,2024,603501,通信设备,6.66,99.46,99.66,100.81,100.81,103.35,99.2,1.16,1.06,收盘卖出,全天
2024-03-20,2024,300576,电子化学品,3.88,41.2,41.28,43.35,43.02,45.58,40.78,5.0,4.9,止盈(5%),盘中
2024-03-21,2024,300576,电子化学品,2.97,42.2,42.28,42.23,42.23,43.37,41.79,-0.13,-0.23,收盘卖出,全天
2024-03-25,2024,002371,半导体,3.79,311.86,312.48,316.8,316.8,326.5,307.91,1.38,1.28,收盘卖出,全天
2024-04-16,2024,600188,煤炭开采加工,2.49,25.5,25.55,25.04,25.5,25.94,25.0,-2.0,-2.1,止损(-2%),盘中
2024-04-24,2024,300285,元件,3.03,18.85,18.89,18.51,18.79,18.94,18.48,-2.0,-2.1,止损(-2%),盘中
2024-04-25,2024,603986,半导体,4.56,77.11,77.26,77.11,77.11,79.27,77.01,-0.2,-0.3,收盘卖出,全天
2024-04-29,2024,300285,元件,3.55,18.98,19.02,19.44,19.44,19.56,18.83,2.22,2.12,收盘卖出,全天
2024-05-06,2024,603228,元件,3.89,23.56,23.61,23.97,23.97,24.33,23.36,1.54,1.44,收盘卖出,全天
2024-05-07,2024,300408,元件,2.29,28.66,28.72,28.69,28.69,29.1,28.41,-0.1,-0.2,收盘卖出,全天
2024-05-08,2024,603228,元件,5.38,25.3,25.35,24.84,25.13,25.58,24.8,-2.0,-2.1,止损(-2%),盘中
2024-05-10,2024,300285,元件,5.74,20.8,20.84,20.77,20.77,21.05,20.44,-0.34,-0.44,收盘卖出,全天
2024-05-13,2024,300661,半导体,4.0,76.7,76.85,75.32,78.4,80.5,75.16,-2.0,-2.1,止损(-2%),盘中
2024-05-14,2024,603986,半导体,4.64,86.62,86.79,86.62,86.62,87.2,85.1,-0.2,-0.3,收盘卖出,全天
2024-05-16,2024,603228,元件,4.56,26.2,26.25,27.57,26.2,27.66,26.09,5.0,4.9,止盈(5%),盘中
2024-05-20,2024,300285,元件,2.98,20.4,20.44,20.03,20.09,20.48,20.03,-2.0,-2.1,止损(-2%),盘中
