date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg
2026-01-05,36.35,36.49,35.57,35.81,3889800.0,139190028.0,116743683.0,0.03331914755507585,
2026-01-06,35.82,36.02,35.43,35.98,4294000.0,153572760.0,116743683.0,0.03678143339027603,0.474727729684421
2026-01-07,35.92,35.92,35.3,35.37,3313400.0,117706848.0,116743683.0,0.02838183544372161,-1.6953863257365143
2026-01-08,35.3,36.6,35.28,36.46,5614001.0,203431048.0,116743683.0,0.0480882635851055,3.0817076618603334
2026-01-09,36.43,37.18,36.34,36.81,6479600.0,238552434.0,116743683.0,0.055502788960324304,0.9599561162918269
2026-01-12,37.3,37.8,36.7,37.8,6944200.0,260024743.0,116743683.0,0.05948244754279339,2.689486552567222
2026-01-13,37.6,37.6,36.1,36.28,5905700.0,216171409.0,116743683.0,0.05058689128387358,-4.021164021164014
2026-01-14,36.62,36.88,35.78,36.28,4859400.0,176864634.0,116743683.0,0.0416245219880548,0.0
2026-01-15,35.89,36.37,35.56,35.81,3024600.0,108396212.0,116743683.0,0.025908039923667647,-1.2954796030871019
2026-01-16,36.07,36.18,35.3,35.65,2854800.0,101805718.0,116743683.0,0.024453571505020963,-0.4468025691147792
2026-01-19,35.63,37.18,35.52,36.83,4878300.0,178319220.0,116743683.0,0.041786415115925374,3.3099579242636734
2026-01-20,36.61,36.89,35.32,35.73,3536200.0,126986093.0,116743683.0,0.030290289882322796,-2.9866956285636737
2026-01-21,35.6,36.16,35.3,35.86,2401308.0,86029995.0,116743683.0,0.02056906153971517,0.363839910439423
2026-01-22,35.87,37.16,35.8,37.06,4706642.0,173086277.0,116743683.0,0.04031603148925839,3.346346904629116
2026-01-23,37.13,37.25,36.54,37.08,3916142.0,144631618.0,116743683.0,0.033544787172767196,0.05396654074472096
2026-01-26,36.99,36.99,35.42,35.85,4011746.0,145072902.0,116743683.0,0.03436370942657343,-3.3171521035598617
2026-01-27,35.85,36.11,34.68,36.03,3185300.0,113201572.0,116743683.0,0.027284559799265543,0.502092050209213
2026-01-28,35.96,35.96,35.07,35.29,3098400.0,109480665.0,116743683.0,0.026540194042019388,-2.0538440188731633
2026-01-29,35.3,35.47,34.59,34.67,2307900.0,80741633.0,116743683.0,0.01976894972552819,-1.756871635024082
2026-01-30,34.68,35.17,34.17,34.89,2850700.0,99187349.0,116743683.0,0.0244184518317792,0.6345543697721334
2026-02-02,35.04,35.62,34.8,34.91,3218000.0,113412031.0,116743683.0,0.027564660607803507,0.05732301519059124
2026-02-03,35.06,35.56,34.91,35.56,2049563.0,72479218.0,116743683.0,0.01755609337766053,1.8619306788885792
2026-02-04,35.46,36.46,35.4,35.79,3637300.0,130433311.0,116743683.0,0.031156289629820914,0.6467941507311448
2026-02-05,35.42,36.33,35.28,35.87,3026300.0,108798709.0,116743683.0,0.025922601739402036,0.22352612461580268
2026-02-06,35.51,35.95,35.21,35.36,2247556.0,79995282.0,116743683.0,0.019252056661601125,-1.421800947867291
